,symbol,open,high,low,close,volume
2020-09-30,BINANCE:BTCDOWNUSDT,5.919,6.445,5.688,6.153,207.8713
2020-10-01,BINANCE:BTCDOWNUSDT,6.205,6.55,6.122,6.237,198.0618
2020-10-02,BINANCE:BTCDOWNUSDT,6.28,6.374,6.198,6.322,49.9588
2020-10-03,BINANCE:BTCDOWNUSDT,6.272,6.355,6.057,6.135,78.9432
2020-10-04,BINANCE:BTCDOWNUSDT,6.135,6.203,5.884,5.916,49.611
2020-10-05,BINANCE:BTCDOWNUSDT,5.912,6.365,5.902,6.229,155.9739
2020-10-06,BINANCE:BTCDOWNUSDT,6.23,6.329,6.059,6.151,61.1448
2020-10-07,BINANCE:BTCDOWNUSDT,6.156,6.364,5.68,5.723,247.6632
2020-10-08,BINANCE:BTCDOWNUSDT,5.723,5.854,5.454,5.542,118.4999
2020-10-09,BINANCE:BTCDOWNUSDT,5.536,5.536,4.917,5.213,178.3543
2020-10-10,BINANCE:BTCDOWNUSDT,5.199,5.23,5.003,5.108,44.2226
2020-10-11,BINANCE:BTCDOWNUSDT,5.108,5.327,4.658,4.875,276.6507
2020-10-12,BINANCE:BTCDOWNUSDT,4.861,5.134,4.807,5.007,149.9092
2020-10-13,BINANCE:BTCDOWNUSDT,5.008,5.187,4.857,5.027,104.1422
2020-10-14,BINANCE:BTCDOWNUSDT,5.027,5.216,4.792,4.949,118.9304
2020-10-15,BINANCE:BTCDOWNUSDT,4.945,5.265,4.897,5.155,103.2801
2020-10-16,BINANCE:BTCDOWNUSDT,5.177,5.219,5.059,5.104,60.8064
2020-10-17,BINANCE:BTCDOWNUSDT,5.11,5.11,4.924,4.924,63.0334
2020-10-18,BINANCE:BTCDOWNUSDT,4.925,5.041,4.574,4.656,185.9807
2020-10-19,BINANCE:BTCDOWNUSDT,4.679,4.735,4.392,4.457,587.6695
2020-10-20,BINANCE:BTCDOWNUSDT,4.49,4.513,3.56,3.814,1061.5118
2020-10-21,BINANCE:BTCDOWNUSDT,3.82,3.909,3.58,3.732,518.3836
2020-10-22,BINANCE:BTCDOWNUSDT,3.725,3.867,3.655,3.75,456.6477
2020-10-23,BINANCE:BTCDOWNUSDT,3.765,3.797,3.6,3.627,144.368
2020-10-24,BINANCE:BTCDOWNUSDT,3.638,3.846,3.506,3.69,359.8622
2020-10-25,BINANCE:BTCDOWNUSDT,3.701,3.865,3.566,3.683,243.3272
2020-10-26,BINANCE:BTCDOWNUSDT,3.683,3.697,3.25,3.327,636.4126
2020-10-27,BINANCE:BTCDOWNUSDT,3.328,3.714,3.208,3.52,867.0468
2020-10-28,BINANCE:BTCDOWNUSDT,3.513,3.689,3.303,3.426,519.4828
2020-10-29,BINANCE:BTCDOWNUSDT,3.43,3.592,3.289,3.366,593.5788
2020-10-30,BINANCE:BTCDOWNUSDT,3.356,3.428,3.066,3.23,758.2895
2020-10-31,BINANCE:BTCDOWNUSDT,3.23,3.308,3.17,3.236,340.2814
2020-11-01,BINANCE:BTCDOWNUSDT,3.243,3.5,3.207,3.343,716.8756
2020-11-02,BINANCE:BTCDOWNUSDT,3.342,3.47,3.095,3.128,660.2428
2020-11-03,BINANCE:BTCDOWNUSDT,3.125,3.325,3.0,3.072,928.3252
2020-11-04,BINANCE:BTCDOWNUSDT,3.072,3.076,2.44,2.491,2082.0641
2020-11-05,BINANCE:BTCDOWNUSDT,2.505,2.627,2.359,2.511,2128.9273
2020-11-06,BINANCE:BTCDOWNUSDT,2.508,2.94,2.419,2.785,1760.4963
2020-11-07,BINANCE:BTCDOWNUSDT,2.785,2.834,2.45,2.552,1026.2384
2020-11-08,BINANCE:BTCDOWNUSDT,2.543,2.812,2.392,2.613,1413.7934
2020-11-09,BINANCE:BTCDOWNUSDT,2.611,2.707,2.534,2.613,640.387
2020-11-10,BINANCE:BTCDOWNUSDT,2.612,2.623,2.334,2.445,907.282
2020-11-11,BINANCE:BTCDOWNUSDT,2.448,2.545,2.219,2.23,1574.3664
2020-11-12,BINANCE:BTCDOWNUSDT,2.237,2.35,2.182,2.22,1127.985
2020-11-13,BINANCE:BTCDOWNUSDT,2.228,2.443,2.225,2.31,840.6515
2020-11-14,BINANCE:BTCDOWNUSDT,2.313,2.426,2.284,2.355,596.3144
2020-11-15,BINANCE:BTCDOWNUSDT,2.362,2.396,2.067,2.116,1455.0233
2020-11-16,BINANCE:BTCDOWNUSDT,2.115,2.155,1.802,1.85,3124.6464
2020-11-17,BINANCE:BTCDOWNUSDT,1.845,1.939,1.641,1.822,5257.3837
